,0,1,2,Act Enrl,Actv,Bldg/Rm,CRN,Course #,Course Title,Days,Instructor,Max Enrl,Seats Avail,Start - End,Time,Units
18,,,,22.0,LAB,REMOTE ONLY,14512.0,CSE-015-06L,Discrete Mathematics,T,"Yang, Shuangyan",22.0,Closed,19-JAN 07-MAY,1:30-4:20pm,0.0
19,,,,22.0,LAB,REMOTE ONLY,15175.0,CSE-015-08L,Discrete Mathematics,R,"Tian, Yuxin",22.0,Closed,19-JAN 07-MAY,10:30-1:20pm,0.0
20,,,,19.0,LAB,REMOTE ONLY,15176.0,CSE-015-09L,Discrete Mathematics,R,"Yang, Shuangyan",22.0,3,19-JAN 07-MAY,1:30-4:20pm,0.0
21,,,,93.0,LECT,REMOTE ONLY,10130.0,CSE-020-01,Introduction to Computing IMust Also Register for a Corresponding Lab Section,W,"Farias, Renato",93.0,Closed,19-JAN 07-MAY,3:30-4:20pm,2.0
22,,,,,EXAM,REMOTE ONLY,,,Introduction to Computing IMust Also Register for a Corresponding Lab Section,R,,,,13-MAY 13-MAY,11:30-2:30pm,
23,,,,31.0,LAB,REMOTE ONLY,10131.0,CSE-020-02L,Introduction to Computing I,F,"Ding, Xianzhong",31.0,Closed,19-JAN 07-MAY,10:30-1:20pm,0.0
24,,,,31.0,LAB,REMOTE ONLY,10132.0,CSE-020-03L,Introduction to Computing I,W,"Ding, Xianzhong",31.0,Closed,19-JAN 07-MAY,10:30-1:20pm,0.0
25,,,,31.0,LAB,REMOTE ONLY,12939.0,CSE-020-04L,Introduction to Computing I,T,"Dong, Wenqian",31.0,Closed,19-JAN 07-MAY,10:30-1:20pm,0.0
26,,,,53.0,LECT,REMOTE ONLY,10133.0,CSE-021-01,Introduction to Computing IIMust Also Register for a Corresponding Lab Section,M,"Farias, Renato",62.0,9,19-JAN 07-MAY,3:30-4:20pm,2.0
27,,,,,EXAM,REMOTE ONLY,,,Introduction to Computing IIMust Also Register for a Corresponding Lab Section,M,,,,10-MAY 10-MAY,11:30-2:30pm,
28,,,,31.0,LAB,REMOTE ONLY,10658.0,CSE-021-02L,Introduction to Computing II,T,"Shang, Xiumin",31.0,Closed,19-JAN 07-MAY,1:30-4:20pm,0.0
29,,,,22.0,LAB,REMOTE ONLY,10134.0,CSE-021-03L,Introduction to Computing II,R,"Shang, Xiumin",31.0,9,19-JAN 07-MAY,1:30-4:20pm,0.0
30,,,,59.0,LECT,REMOTE ONLY,16107.0,CSE-022-01,Intro to ProgrammingMust Also Register for a Corresponding Lab Section,TR,"Kyrilov, Angelo",60.0,1,19-JAN 07-MAY,4:30-5:45pm,4.0
31,,,,,EXAM,REMOTE ONLY,,,Intro to ProgrammingMust Also Register for a Corresponding Lab Section,T,,,,11-MAY 11-MAY,8:00-11:00am,
32,,,,20.0,LAB,REMOTE ONLY,16108.0,CSE-022-02L,Intro to Programming,R,"Liang, Haolin",20.0,Closed,19-JAN 07-MAY,7:30-10:20am,0.0
33,,,,19.0,LAB,REMOTE ONLY,16109.0,CSE-022-03L,Intro to Programming,W,"Liang, Haolin",20.0,1,19-JAN 07-MAY,4:30-7:20pm,0.0
34,,,,20.0,LAB,REMOTE ONLY,16110.0,CSE-022-04L,Intro to Programming,F,"Hoskeri, Rahul Sidramappa",20.0,Closed,19-JAN 07-MAY,1:30-4:20pm,0.0
35,,,,144.0,LECT,REMOTE ONLY,16112.0,CSE-024-01,Advanced ProgrammingMust Also Register for a Corresponding Lab Section,TR,"Kyrilov, Angelo",150.0,6,19-JAN 07-MAY,1:30-2:45pm,4.0
36,,,,,EXAM,REMOTE ONLY,,,Advanced ProgrammingMust Also Register for a Corresponding Lab Section,F,,,,14-MAY 14-MAY,11:30-2:30pm,
37,,,,25.0,LAB,REMOTE ONLY,16113.0,CSE-024-02L,Advanced Programming,W,"Liu, Jie",25.0,Closed,19-JAN 07-MAY,1:30-4:20pm,0.0
38,,,,24.0,LAB,REMOTE ONLY,16114.0,CSE-024-03L,Advanced Programming,R,"Liu, Jie",25.0,1,19-JAN 07-MAY,4:30-7:20pm,0.0
39,,,,25.0,LAB,REMOTE ONLY,16115.0,CSE-024-04L,Advanced Programming,F,"He, Zhixun",25.0,Closed,19-JAN 07-MAY,1:30-4:20pm,0.0
40,,,,24.0,LAB,REMOTE ONLY,16116.0,CSE-024-05L,Advanced Programming,F,"He, Zhixun",25.0,1,19-JAN 07-MAY,4:30-7:20pm,0.0
41,,,,25.0,LAB,REMOTE ONLY,16117.0,CSE-024-06L,Advanced Programming,W,"Xiao, Taihong",25.0,Closed,19-JAN 07-MAY,7:30-10:20pm,0.0
42,,,,21.0,LAB,REMOTE ONLY,16119.0,CSE-024-08L,Advanced Programming,W,"Xiao, Taihong",25.0,4,19-JAN 07-MAY,7:30-10:20am,0.0
43,,,,53.0,LECT,REMOTE ONLY,10138.0,CSE-030-01,Data StructuresMust Also Register for a Corresponding Lab Section,MW,"Hepworth, Ammon",85.0,32,19-JAN 07-MAY,1:30-2:45pm,4.0
44,,,,,EXAM,REMOTE ONLY,,,Data StructuresMust Also Register for a Corresponding Lab Section,S,,,,08-MAY 08-MAY,11:30-2:30pm,
45,,,,14.0,LAB,REMOTE ONLY,14518.0,CSE-030-02L,Data Structures,T,"Soni, Puneet",28.0,14,19-JAN 07-MAY,10:30-1:20pm,0.0
46,,,,19.0,LAB,REMOTE ONLY,14519.0,CSE-030-03L,Data Structures,W,"Soni, Puneet",29.0,10,19-JAN 07-MAY,4:30-7:20pm,0.0
47,,,,20.0,LAB,REMOTE ONLY,16120.0,CSE-030-04L,Data Structures,T,"Bernard, Nigel",28.0,8,19-JAN 07-MAY,1:30-4:20pm,0.0
48,,,,175.0,LECT,REMOTE ONLY,10139.0,CSE-031-01,Computer OrganizationMust Also Register for a Corresponding Lab Section,MW,"Chandrasekhar, Santosh",175.0,Closed,19-JAN 07-MAY,3:00-4:15pm,4.0
49,,,,,EXAM,REMOTE ONLY,,,Computer OrganizationMust Also Register for a Corresponding Lab Section,W,,,,12-MAY 12-MAY,8:00-11:00am,
50,,,,28.0,LAB,REMOTE ONLY,10140.0,CSE-031-02L,Computer Organization,R,"Tavallali, Pooya",29.0,1,19-JAN 07-MAY,7:30-10:20am,0.0
51,,,,29.0,LAB,REMOTE ONLY,10141.0,CSE-031-03L,Computer Organization,W,"Tavallali, Pooya",29.0,Closed,19-JAN 07-MAY,7:30-10:20am,0.0
52,,,,30.0,LAB,REMOTE ONLY,12942.0,CSE-031-04L,Computer Organization,R,"Sony, Nasit",30.0,Closed,19-JAN 07-MAY,1:30-4:20pm,0.0
53,,,,29.0,LAB,REMOTE ONLY,13268.0,CSE-031-05L,Computer Organization,F,"Sony, Nasit",29.0,Closed,19-JAN 07-MAY,10:30-1:20pm,0.0
54,,,,30.0,LAB,REMOTE ONLY,14520.0,CSE-031-06L,Computer Organization,F,"Alizadeh, Azar",29.0,-1,19-JAN 07-MAY,7:30-10:20pm,0.0
55,,,,29.0,LAB,REMOTE ONLY,14696.0,CSE-031-07L,Computer Organization,M,"Alizadeh, Azar",29.0,Closed,19-JAN 07-MAY,7:30-10:20pm,0.0
56,,,,114.0,LECT,REMOTE ONLY,13628.0,CSE-100-01,Algorithm Design and AnalysisMust Also Register for a Corresponding Lab Section,TR,"Chandrasekhar, Santosh",125.0,11,19-JAN 07-MAY,3:00-4:15pm,4.0
57,,,,,EXAM,REMOTE ONLY,,,Algorithm Design and AnalysisMust Also Register for a Corresponding Lab Section,M,,,,10-MAY 10-MAY,6:30-9:30pm,
58,,,,18.0,LAB,REMOTE ONLY,13629.0,CSE-100-02L,Algorithm Design and Analysis,M,"Zand, Ghazal",25.0,7,19-JAN 07-MAY,1:30-4:20pm,0.0
59,,,,25.0,LAB,REMOTE ONLY,13630.0,CSE-100-03L,Algorithm Design and Analysis,W,"Zand, Ghazal",25.0,Closed,19-JAN 07-MAY,10:30-1:20pm,0.0
60,,,,27.0,LAB,REMOTE ONLY,14521.0,CSE-100-04L,Algorithm Design and Analysis,M,"Khazaei Pool, Maryam",25.0,-2,19-JAN 07-MAY,10:30-1:20pm,0.0
61,,,,16.0,LAB,REMOTE ONLY,14522.0,CSE-100-05L,Algorithm Design and Analysis,W,"Rohal, Shubham",25.0,9,19-JAN 07-MAY,7:30-10:20am,0.0
62,,,,28.0,LAB,REMOTE ONLY,14523.0,CSE-100-06L,Algorithm Design and Analysis,F,"Khazaei Pool, Maryam",25.0,-3,19-JAN 07-MAY,10:30-1:20pm,0.0
63,,,,142.0,LECT,REMOTE ONLY,14174.0,CSE-120-01,Software EngineeringMust Also Register for a Corresponding Lab Section,MW,"Chandrasekhar, Santosh",140.0,-2,19-JAN 07-MAY,12:00-1:15pm,4.0
64,,,,,EXAM,REMOTE ONLY,,,Software EngineeringMust Also Register for a Corresponding Lab Section,F,,,,14-MAY 14-MAY,8:00-11:00am,
65,,,,30.0,LAB,REMOTE ONLY,14175.0,CSE-120-02L,Software Engineering,M,"Idelbayev, Yerlan",30.0,Closed,19-JAN 07-MAY,7:30-10:20am,0.0
66,,,,29.0,LAB,REMOTE ONLY,14176.0,CSE-120-03L,Software Engineering,R,"Idelbayev, Yerlan",30.0,1,19-JAN 07-MAY,7:30-10:20pm,0.0
67,,,,30.0,LAB,REMOTE ONLY,14710.0,CSE-120-04L,Software Engineering,R,"Ren, Yuan",30.0,Closed,19-JAN 07-MAY,10:30-1:20pm,0.0
68,,,,30.0,LAB,REMOTE ONLY,15179.0,CSE-120-05L,Software Engineering,T,"Ren, Yuan",30.0,Closed,19-JAN 07-MAY,10:30-1:20pm,0.0
69,,,,23.0,LAB,REMOTE ONLY,16690.0,CSE-120-06L,Software Engineering,F,"Bernard, Nigel",20.0,-3,19-JAN 07-MAY,10:30-1:20pm,0.0
70,,,,89.0,LECT,REMOTE ONLY,15180.0,CSE-140-01,Computer ArchitectureMust Also Register for a Corresponding Lab Section,MW,"Jeon, Hyeran",90.0,1,19-JAN 07-MAY,10:30-11:45am,4.0
71,,,,,EXAM,REMOTE ONLY,,,Computer ArchitectureMust Also Register for a Corresponding Lab Section,S,,,,08-MAY 08-MAY,8:00-11:00am,
72,,,,30.0,LAB,REMOTE ONLY,15181.0,CSE-140-02L,Computer Architecture,W,"Hoskeri, Rahul Sidramappa",30.0,Closed,19-JAN 07-MAY,4:30-7:20pm,0.0
73,,,,30.0,LAB,REMOTE ONLY,15183.0,CSE-140-04L,Computer Architecture,R,"Dave, Abhilasha",30.0,Closed,19-JAN 07-MAY,4:30-7:20pm,0.0
74,,,,29.0,LAB,REMOTE ONLY,16126.0,CSE-140-05L,Computer Architecture,T,"Dave, Abhilasha",30.0,1,19-JAN 07-MAY,7:30-10:20am,0.0
75,,,,90.0,LECT,REMOTE ONLY,14630.0,CSE-160-01,Computer NetworksMust Also Register for a Corresponding Lab Section,TR,"Pan, Shijia",90.0,Closed,19-JAN 07-MAY,12:00-1:15pm,4.0
76,,,,,EXAM,REMOTE ONLY,,,Computer NetworksMust Also Register for a Corresponding Lab Section,R,,,,13-MAY 13-MAY,8:00-11:00am,
77,,,,30.0,LAB,REMOTE ONLY,14631.0,CSE-160-02L,Computer Networks,T,"Rajabi, Hamid",30.0,Closed,19-JAN 07-MAY,4:30-7:20pm,0.0
78,,,,30.0,LAB,REMOTE ONLY,14632.0,CSE-160-03L,Computer Networks,W,"Rajabi, Hamid",30.0,Closed,19-JAN 07-MAY,7:30-10:20pm,0.0
79,,,,30.0,LAB,REMOTE ONLY,15184.0,CSE-160-04L,Computer Networks,M,"Rohal, Shubham",30.0,Closed,19-JAN 07-MAY,1:30-4:20pm,0.0
80,,,,60.0,LECT,REMOTE ONLY,16603.0,CSE-162-01,Mobile ComputingMust Also Register for a Corresponding Lab Section,TR,"Huang, Hua",58.0,-2,19-JAN 07-MAY,9:00-10:15am,4.0
81,,,,,EXAM,REMOTE ONLY,,,Mobile ComputingMust Also Register for a Corresponding Lab Section,T,,,,11-MAY 11-MAY,11:30-2:30pm,
82,,,,30.0,LAB,REMOTE ONLY,16604.0,CSE-162-02L,Mobile Computing,T,"Huang, Hsin-Ping",29.0,-1,19-JAN 07-MAY,1:30-4:20pm,0.0
83,,,,30.0,LAB,REMOTE ONLY,16605.0,CSE-162-03L,Mobile Computing,R,"Huang, Hsin-Ping",29.0,-1,19-JAN 07-MAY,4:30-7:20pm,0.0
84,,,,120.0,LECT,REMOTE ONLY,12914.0,CSE-165-01,Intro to Object Orient ProgramMust Also Register for a Corresponding Lab Section,TR,"Hepworth, Ammon",120.0,Closed,19-JAN 07-MAY,9:00-10:15am,4.0
85,,,,,EXAM,REMOTE ONLY,,,Intro to Object Orient ProgramMust Also Register for a Corresponding Lab Section,T,,,,11-MAY 11-MAY,3:00-6:00pm,
86,,,,30.0,LAB,REMOTE ONLY,12915.0,CSE-165-02L,Intro to Object Orient Program,F,"Gabidolla, Magzhan",30.0,Closed,19-JAN 07-MAY,7:30-10:20am,0.0
87,,,,30.0,LAB,REMOTE ONLY,12916.0,CSE-165-03L,Intro to Object Orient Program,F,"Gabidolla, Magzhan",30.0,Closed,19-JAN 07-MAY,1:30-4:20pm,0.0
88,,,,30.0,LAB,REMOTE ONLY,13631.0,CSE-165-04L,Intro to Object Orient Program,W,"Sharma, Ritesh",30.0,Closed,19-JAN 07-MAY,7:30-10:20am,0.0
89,,,,30.0,LAB,REMOTE ONLY,16130.0,CSE-165-05L,Intro to Object Orient Program,T,"Sharma, Ritesh",30.0,Closed,19-JAN 07-MAY,4:30-7:20pm,0.0
90,,,,23.0,LECT,REMOTE ONLY,14526.0,CSE-179-01,Intro Parallel ComputingMust Also Register for a Corresponding Lab Section,MW,"Li, Dong",30.0,7,19-JAN 07-MAY,4:30-5:45pm,4.0
91,,,,,EXAM,REMOTE ONLY,,,Intro Parallel ComputingMust Also Register for a Corresponding Lab Section,F,,,,14-MAY 14-MAY,3:00-6:00pm,
92,,,,23.0,LAB,REMOTE ONLY,14527.0,CSE-179-02L,Intro Parallel Computing,F,"Dong, Wenqian",30.0,7,19-JAN 07-MAY,10:30-1:20pm,0.0
93,,,,119.0,LECT,REMOTE ONLY,14528.0,CSE-185-01,Intro to Computer VisionMust Also Register for a Corresponding Lab Section,MT,"Yang, Ming-Hsuan",116.0,-3,19-JAN 07-MAY,3:00-4:15pm,4.0
94,,,,30.0,LAB,REMOTE ONLY,14529.0,CSE-185-02L,Intro to Computer Vision,M,"Yao, Chun-Han",29.0,-1,19-JAN 07-MAY,4:30-7:20pm,0.0
95,,,,30.0,LAB,REMOTE ONLY,14530.0,CSE-185-03L,Intro to Computer Vision,M,"Yao, Chun-Han",29.0,-1,19-JAN 07-MAY,7:30-10:20pm,0.0
96,,,,30.0,LAB,REMOTE ONLY,14531.0,CSE-185-04L,Intro to Computer Vision,F,"Chen, Yi-Wen",29.0,-1,19-JAN 07-MAY,10:30-1:20pm,0.0
97,,,,29.0,LAB,REMOTE ONLY,14633.0,CSE-185-05L,Intro to Computer Vision,M,"Chen, Yi-Wen",29.0,Closed,19-JAN 07-MAY,7:30-10:20am,0.0
0,,,,160.0,LECT,REMOTE ONLY,14151.0,ECON-001-01,Introduction to Economics,TR,"Lee, Jason",200.0,40,19-JAN 07-MAY,5:30-7:20pm,4.0
1,,,,,EXAM,REMOTE ONLY,,,Introduction to Economics,W,,,,12-MAY 12-MAY,11:30-2:30pm,
2,,,,85.0,LECT,REMOTE ONLY,13100.0,ECON-005-01,Intro to Business & Finance,TR,"Harris, Mark",85.0,Closed,19-JAN 07-MAY,1:30-3:20pm,4.0
3,,,,,EXAM,REMOTE ONLY,,,Intro to Business & Finance,R,,,,13-MAY 13-MAY,8:00-11:00am,
4,,,,85.0,LECT,REMOTE ONLY,13603.0,ECON-005-02,Intro to Business & Finance,TR,"Harris, Mark",85.0,Closed,19-JAN 07-MAY,11:30-1:20pm,4.0
5,,,,,EXAM,REMOTE ONLY,,,Intro to Business & Finance,R,,,,13-MAY 13-MAY,8:00-11:00am,
6,,,,55.0,LECT,REMOTE ONLY,13604.0,ECON-006A-01,Financial Accounting I,TR,"Bennett, Shauna",55.0,Closed,19-JAN 07-MAY,11:30-1:20pm,4.0
7,,,,,EXAM,REMOTE ONLY,,,Financial Accounting I,R,,,,13-MAY 13-MAY,11:30-2:30pm,
8,,,,55.0,LECT,REMOTE ONLY,13605.0,ECON-006A-02,Financial Accounting I,MW,"Bennett, Shauna",55.0,Closed,19-JAN 07-MAY,3:30-5:20pm,4.0
9,,,,,EXAM,REMOTE ONLY,,,Financial Accounting I,R,,,,13-MAY 13-MAY,11:30-2:30pm,
10,,,,60.0,LECT,REMOTE ONLY,13606.0,ECON-006B-01,Financial Accounting II,MW,"Vilhauer, Craig",60.0,Closed,19-JAN 07-MAY,11:30-1:20pm,4.0
11,,,,,EXAM,REMOTE ONLY,,,Financial Accounting II,F,,,,14-MAY 14-MAY,8:00-11:00am,
12,,,,60.0,LECT,REMOTE ONLY,13607.0,ECON-007-01,Managerial Accounting,MW,"Bennett, Shauna",60.0,Closed,19-JAN 07-MAY,5:30-7:20pm,4.0
13,,,,,EXAM,REMOTE ONLY,,,Managerial Accounting,R,,,,13-MAY 13-MAY,3:00-6:00pm,
14,,,,90.0,LECT,REMOTE ONLY,10654.0,ECON-010-01,Statistical InferenceMust Also Register for a Corresponding Lab Section,TR,"Christafore, David",90.0,Closed,19-JAN 07-MAY,9:00-10:15am,4.0
15,,,,,EXAM,REMOTE ONLY,,,Statistical InferenceMust Also Register for a Corresponding Lab Section,T,,,,11-MAY 11-MAY,3:00-6:00pm,
16,,,,30.0,LAB,REMOTE ONLY,10655.0,ECON-010-02L,Statistical Inference,W,"Christafore, David",30.0,Closed,19-JAN 07-MAY,11:30-12:20pm,0.0
17,,,,30.0,LAB,REMOTE ONLY,10656.0,ECON-010-03L,Statistical Inference,W,"Christafore, David",30.0,Closed,19-JAN 07-MAY,12:30-1:20pm,0.0
18,,,,30.0,LAB,REMOTE ONLY,14132.0,ECON-010-04L,Statistical Inference,F,"Christafore, David",30.0,Closed,19-JAN 07-MAY,9:30-10:20am,0.0
19,,,,84.0,LECT,REMOTE ONLY,14578.0,ECON-100-10,Interm Microeconomic TheoryMust Also Register for a Corresponding Discussion Section,MW,"Hicks, Justin",84.0,Closed,19-JAN 07-MAY,4:30-5:45pm,4.0
20,,,,,EXAM,REMOTE ONLY,,,Interm Microeconomic TheoryMust Also Register for a Corresponding Discussion Section,F,,,,14-MAY 14-MAY,3:00-6:00pm,
21,,,,28.0,DISC,REMOTE ONLY,14579.0,ECON-100-11D,Interm Microeconomic Theory,F,"Hicks, Justin",28.0,Closed,19-JAN 07-MAY,11:30-12:20pm,0.0
22,,,,28.0,DISC,REMOTE ONLY,14580.0,ECON-100-12D,Interm Microeconomic Theory,F,"Hicks, Justin",28.0,Closed,19-JAN 07-MAY,12:30-1:20pm,0.0
23,,,,28.0,DISC,REMOTE ONLY,14581.0,ECON-100-13D,Interm Microeconomic Theory,F,"Hicks, Justin",28.0,Closed,19-JAN 07-MAY,1:30-2:20pm,0.0
24,,,,84.0,LECT,REMOTE ONLY,10164.0,ECON-101-01,Interm Macroecon TheoryMust Also Register for a Corresponding Discussion Section,TR,"Sandoval-Hernandez, Jesus",84.0,Closed,19-JAN 07-MAY,9:00-10:15am,4.0
25,,,,,EXAM,REMOTE ONLY,,,Interm Macroecon TheoryMust Also Register for a Corresponding Discussion Section,T,,,,11-MAY 11-MAY,3:00-6:00pm,
26,,,,28.0,DISC,REMOTE ONLY,10495.0,ECON-101-02D,Interm Macroecon Theory,W,Staff,28.0,Closed,19-JAN 07-MAY,8:30-9:20am,0.0
27,,,,28.0,DISC,REMOTE ONLY,10496.0,ECON-101-03D,Interm Macroecon Theory,W,Staff,28.0,Closed,19-JAN 07-MAY,9:30-10:20am,0.0
28,,,,28.0,DISC,REMOTE ONLY,14582.0,ECON-101-04D,Interm Macroecon Theory,W,Staff,28.0,Closed,19-JAN 07-MAY,10:30-11:20am,0.0
29,,,,16.0,LECT,REMOTE ONLY,16732.0,ECON-101-20,Interm Macroecon TheoryMust Also Register for a Corresponding Discussion Section,TR,"Sandoval-Hernandez, Jesus",36.0,20,19-JAN 07-MAY,12:00-1:15pm,4.0
30,,,,,EXAM,REMOTE ONLY,,,Interm Macroecon TheoryMust Also Register for a Corresponding Discussion Section,R,,,,13-MAY 13-MAY,8:00-11:00am,
31,,,,12.0,DISC,REMOTE ONLY,16733.0,ECON-101-21D,Interm Macroecon Theory,T,Staff,12.0,Closed,19-JAN 07-MAY,2:30-3:20pm,0.0
32,,,,1.0,DISC,REMOTE ONLY,16734.0,ECON-101-22D,Interm Macroecon Theory,T,Staff,12.0,11,19-JAN 07-MAY,3:30-4:20pm,0.0
33,,,,3.0,DISC,REMOTE ONLY,16735.0,ECON-101-23D,Interm Macroecon Theory,T,Staff,12.0,9,19-JAN 07-MAY,4:30-5:20pm,0.0
34,,,,40.0,LECT,REMOTE ONLY,13618.0,ECON-105-01,Corporate Finance,TR,"Sandoval-Hernandez, Jesus",40.0,Closed,19-JAN 07-MAY,10:30-11:45am,4.0
35,,,,,EXAM,REMOTE ONLY,,,Corporate Finance,S,,,,08-MAY 08-MAY,3:00-6:00pm,
36,,,,40.0,LECT,REMOTE ONLY,13619.0,ECON-105-02,Corporate Finance,TR,"Tsoulouhas, Fanis",40.0,Closed,19-JAN 07-MAY,12:00-1:15pm,4.0
37,,,,,EXAM,REMOTE ONLY,,,Corporate Finance,R,,,,13-MAY 13-MAY,8:00-11:00am,
38,,,,88.0,LECT,REMOTE ONLY,14123.0,ECON-108-01,Marketing & Consumer Behavior,MW,"Seltzer, Steven",85.0,-3,19-JAN 07-MAY,4:30-5:45pm,4.0
39,,,,,EXAM,REMOTE ONLY,,,Marketing & Consumer Behavior,F,,,,14-MAY 14-MAY,3:00-6:00pm,
40,,,,50.0,LECT,REMOTE ONLY,13622.0,ECON-110-01,EconometricsMust Also Register for a Corresponding Lab Section,MW,"Seltzer, Steven",50.0,Closed,19-JAN 07-MAY,6:00-7:15pm,4.0
41,,,,,EXAM,REMOTE ONLY,,,EconometricsMust Also Register for a Corresponding Lab Section,R,,,,13-MAY 13-MAY,3:00-6:00pm,
42,,,,25.0,LAB,REMOTE ONLY,13623.0,ECON-110-02L,Econometrics,W,Staff,25.0,Closed,19-JAN 07-MAY,11:30-12:20pm,0.0
43,,,,25.0,LAB,REMOTE ONLY,15213.0,ECON-110-03L,Econometrics,W,Staff,25.0,Closed,19-JAN 07-MAY,12:30-1:20pm,0.0
44,,,,55.0,LECT,REMOTE ONLY,10555.0,ECON-115-01,Industrial Organization,MW,"Seltzer, Steven",55.0,Closed,19-JAN 07-MAY,7:30-8:45pm,4.0
45,,,,,EXAM,REMOTE ONLY,,,Industrial Organization,W,,,,12-MAY 12-MAY,3:00-6:00pm,
46,,,,60.0,LECT,REMOTE ONLY,16638.0,ECON-121-02,Econ of Money & Banking,MW,"Lee, Jason",60.0,Closed,19-JAN 07-MAY,3:30-4:15pm,4.0
47,,,,,EXAM,REMOTE ONLY,,,Econ of Money & Banking,R,,,,13-MAY 13-MAY,11:30-2:30pm,
48,,,,40.0,LECT,REMOTE ONLY,16381.0,ECON-145-01,Health Economics,TR,"Christafore, David",40.0,Closed,19-JAN 07-MAY,10:30-11:45am,4.0
49,,,,,EXAM,REMOTE ONLY,,,Health Economics,S,,,,08-MAY 08-MAY,3:00-6:00pm,
50,,,,40.0,LECT,REMOTE ONLY,15215.0,ECON-150-01,Economic Development,TR,"Sheth, Ketki",40.0,Closed,19-JAN 07-MAY,9:00-10:15am,4.0
51,,,,,EXAM,REMOTE ONLY,,,Economic Development,T,,,,11-MAY 11-MAY,3:00-6:00pm,
52,,,,85.0,LECT,REMOTE ONLY,15362.0,ECON-163-01,Economics of Investments,TR,"Lee, Jason",85.0,Closed,19-JAN 07-MAY,1:30-2:45pm,4.0
53,,,,,EXAM,REMOTE ONLY,,,Economics of Investments,F,,,,14-MAY 14-MAY,11:30-2:30pm,
54,,,,15.0,LECT,REMOTE ONLY,13620.0,ECON-171-01,Advanced Econometrics,TR,"Sheth, Ketki",40.0,25,19-JAN 07-MAY,10:30-11:45am,4.0
55,,,,,EXAM,REMOTE ONLY,,,Advanced Econometrics,S,,,,08-MAY 08-MAY,3:00-6:00pm,
56,,,,37.0,SEM,REMOTE ONLY,14583.0,ECON-190-01,Advanced Accounting,TR,"Vilhauer, Craig",55.0,18,19-JAN 07-MAY,1:30-2:45pm,4.0
57,,,,,EXAM,REMOTE ONLY,,,Advanced Accounting,F,,,,14-MAY 14-MAY,11:30-2:30pm,
58,,,,19.0,SEM,REMOTE ONLY,16535.0,ECON-190-03,Project Finance-Merced 2020,MW,Staff,35.0,16,19-JAN 07-MAY,4:30-5:45pm,4.0
59,,,,,EXAM,REMOTE ONLY,,,Project Finance-Merced 2020,R,,,,13-MAY 13-MAY,11:30-2:30pm,
60,,,,6.0,LECT,REMOTE ONLY,16596.0,ECON-201B-01,Microeconomic Theory II,M,"Butler, Jeffrey",15.0,9,19-JAN 07-MAY,12:00-2:45pm,4.0
61,,,,,EXAM,REMOTE ONLY,,,Microeconomic Theory II,M,,,,10-MAY 10-MAY,3:00-6:00pm,
62,,,,6.0,SEM,REMOTE ONLY,16630.0,ECON-210-01,Adv Applied Research Methods,MW,"Hicks, Justin",15.0,9,19-JAN 07-MAY,3:00-4:15pm,4.0
63,,,,,EXAM,REMOTE ONLY,,,Adv Applied Research Methods,R,,,,13-MAY 13-MAY,11:30-2:30pm,
64,,,,6.0,LECT,REMOTE ONLY,16595.0,ECON-230B-01,Econometrics II,TR,"Ballis, Briana",15.0,9,19-JAN 07-MAY,10:30-11:45am,4.0
65,,,,,EXAM,REMOTE ONLY,,,Econometrics II,R,,,,13-MAY 13-MAY,8:00-11:00am,
0,,,,13.0,LECT,REMOTE ONLY,16287.0,EECS-207-01,Digital Image ProcessingMust Also Register for a Corresponding Lab Section,TR,"Newsam, Shawn",30.0,17.0,19-JAN 07-MAY,1:30-2:45pm,4.0
1,,,,,EXAM,REMOTE ONLY,,,Digital Image ProcessingMust Also Register for a Corresponding Lab Section,F,,,,14-MAY 14-MAY,11:30-2:30pm,
2,,,,13.0,LAB,REMOTE ONLY,16288.0,EECS-207-02L,Digital Image Processing,W,"Newsam, Shawn",30.0,17.0,19-JAN 07-MAY,10:30-1:20pm,0.0
3,,,,1.0,LECT,REMOTE ONLY,16749.0,EECS-210-01,Linear Multivariable Control,MW,"Pinto de Castro, Ricardo",30.0,29.0,19-JAN 07-MAY,10:30-11:45am,3.0
4,,,,,EXAM,REMOTE ONLY,,,Linear Multivariable Control,S,,,,08-MAY 08-MAY,8:00-11:00am,
5,,,,0.0,LECT,REMOTE ONLY,14661.0,EECS-243-01,Interdisc Comp Graduate EducMust Also Register for a Corresponding Lab Section,F,Staff,20.0,20.0,19-JAN 07-MAY,2:00-3:50pm,1.0
6,,,,,EXAM,REMOTE ONLY,,,Interdisc Comp Graduate EducMust Also Register for a Corresponding Lab Section,S,,,,08-MAY 08-MAY,11:30-2:30pm,
7,,,,0.0,LAB,REMOTE ONLY,14662.0,EECS-243-02L,Interdisc Comp Graduate Educ,F,Staff,20.0,20.0,19-JAN 07-MAY,4:00-4:50pm,0.0
8,,,,6.0,LECT,REMOTE ONLY,16289.0,EECS-251-01,Advanced Operating SystemsMust Also Register for a Corresponding Lab Section,WF,"Du, Wan",30.0,24.0,19-JAN 07-MAY,4:30-5:45pm,4.0
9,,,,,EXAM,REMOTE ONLY,,,Advanced Operating SystemsMust Also Register for a Corresponding Lab Section,F,,,,14-MAY 14-MAY,3:00-6:00pm,
